 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 43866.0 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083184E+01 | loss scale: 1.0 | grad norm: 7.826 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 23.344 | tokens per gpu per second (tgs): 2988.006 | TFLOPs: 2.57 |
 iteration        2/     100 | consumed samples:         2048 | consumed tokens:       524288 | elapsed time per iteration (ms): 54579.4 | learning rate: 5.995E-05 | global batch size:  1024 | lm loss: 1.064952E+01 | loss scale: 1.0 | grad norm: 4.099 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 18.762 | tokens per gpu per second (tgs): 2401.493 | TFLOPs: 2.07 |
 iteration        3/     100 | consumed samples:         3072 | consumed tokens:       786432 | elapsed time per iteration (ms): 41503.1 | learning rate: 5.988E-05 | global batch size:  1024 | lm loss: 1.058558E+01 | loss scale: 1.0 | grad norm: 2.164 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.673 | tokens per gpu per second (tgs): 3158.127 | TFLOPs: 2.72 |
 iteration        4/     100 | consumed samples:         4096 | consumed tokens:      1048576 | elapsed time per iteration (ms): 41838.6 | learning rate: 5.979E-05 | global batch size:  1024 | lm loss: 1.065028E+01 | loss scale: 1.0 | grad norm: 162.944 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.475 | tokens per gpu per second (tgs): 3132.804 | TFLOPs: 2.70 |
 iteration        5/     100 | consumed samples:         5120 | consumed tokens:      1310720 | elapsed time per iteration (ms): 41507.5 | learning rate: 5.967E-05 | global batch size:  1024 | lm loss: 1.052849E+01 | loss scale: 1.0 | grad norm: 1.890 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.670 | tokens per gpu per second (tgs): 3157.790 | TFLOPs: 2.72 |
 iteration        6/     100 | consumed samples:         6144 | consumed tokens:      1572864 | elapsed time per iteration (ms): 41503.5 | learning rate: 5.952E-05 | global batch size:  1024 | lm loss: 1.050788E+01 | loss scale: 1.0 | grad norm: 1.871 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.673 | tokens per gpu per second (tgs): 3158.093 | TFLOPs: 2.72 |
 iteration        7/     100 | consumed samples:         7168 | consumed tokens:      1835008 | elapsed time per iteration (ms): 41489.9 | learning rate: 5.935E-05 | global batch size:  1024 | lm loss: 1.048300E+01 | loss scale: 1.0 | grad norm: 1.865 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.681 | tokens per gpu per second (tgs): 3159.130 | TFLOPs: 2.72 |
 iteration        8/     100 | consumed samples:         8192 | consumed tokens:      2097152 | elapsed time per iteration (ms): 41503.0 | learning rate: 5.915E-05 | global batch size:  1024 | lm loss: 1.045436E+01 | loss scale: 1.0 | grad norm: 1.871 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.673 | tokens per gpu per second (tgs): 3158.131 | TFLOPs: 2.72 |
 iteration        9/     100 | consumed samples:         9216 | consumed tokens:      2359296 | elapsed time per iteration (ms): 41489.7 | learning rate: 5.893E-05 | global batch size:  1024 | lm loss: 1.042842E+01 | loss scale: 1.0 | grad norm: 1.939 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.681 | tokens per gpu per second (tgs): 3159.144 | TFLOPs: 2.72 |
 iteration       10/     100 | consumed samples:        10240 | consumed tokens:      2621440 | elapsed time per iteration (ms): 41504.1 | learning rate: 5.868E-05 | global batch size:  1024 | lm loss: 1.040080E+01 | loss scale: 1.0 | grad norm: 1.960 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.672 | tokens per gpu per second (tgs): 3158.046 | TFLOPs: 2.72 |
 iteration       11/     100 | consumed samples:        11264 | consumed tokens:      2883584 | elapsed time per iteration (ms): 41669.2 | learning rate: 5.840E-05 | global batch size:  1024 | lm loss: 1.036886E+01 | loss scale: 1.0 | grad norm: 1.849 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.575 | tokens per gpu per second (tgs): 3145.536 | TFLOPs: 2.71 |
