 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 129204.5 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083638E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.925 | tokens per gpu per second (tgs): 1014.454 | TFLOPs: 0.87 |
 iteration        2/     100 | consumed samples:         2048 | consumed tokens:       524288 | elapsed time per iteration (ms): 178824.9 | learning rate: 5.995E-05 | global batch size:  1024 | lm loss: 1.065511E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 5.726 | tokens per gpu per second (tgs): 732.963 | TFLOPs: 0.63 |
 iteration        3/     100 | consumed samples:         3072 | consumed tokens:       786432 | elapsed time per iteration (ms): 127251.6 | learning rate: 5.988E-05 | global batch size:  1024 | lm loss: 1.058540E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.047 | tokens per gpu per second (tgs): 1030.022 | TFLOPs: 0.89 |
 iteration        4/     100 | consumed samples:         4096 | consumed tokens:      1048576 | elapsed time per iteration (ms): 127823.5 | learning rate: 5.979E-05 | global batch size:  1024 | lm loss: 1.053897E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.011 | tokens per gpu per second (tgs): 1025.414 | TFLOPs: 0.88 |
 iteration        5/     100 | consumed samples:         5120 | consumed tokens:      1310720 | elapsed time per iteration (ms): 127728.4 | learning rate: 5.967E-05 | global batch size:  1024 | lm loss: 1.111850E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.017 | tokens per gpu per second (tgs): 1026.177 | TFLOPs: 0.88 |
 iteration        6/     100 | consumed samples:         6144 | consumed tokens:      1572864 | elapsed time per iteration (ms): 127087.3 | learning rate: 5.952E-05 | global batch size:  1024 | lm loss: 1.051804E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.057 | tokens per gpu per second (tgs): 1031.354 | TFLOPs: 0.89 |
 iteration        7/     100 | consumed samples:         7168 | consumed tokens:      1835008 | elapsed time per iteration (ms): 127337.5 | learning rate: 5.935E-05 | global batch size:  1024 | lm loss: 1.048437E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.042 | tokens per gpu per second (tgs): 1029.327 | TFLOPs: 0.89 |
 iteration        8/     100 | consumed samples:         8192 | consumed tokens:      2097152 | elapsed time per iteration (ms): 127466.4 | learning rate: 5.915E-05 | global batch size:  1024 | lm loss: 1.045725E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.033 | tokens per gpu per second (tgs): 1028.286 | TFLOPs: 0.89 |
 iteration        9/     100 | consumed samples:         9216 | consumed tokens:      2359296 | elapsed time per iteration (ms): 127661.2 | learning rate: 5.893E-05 | global batch size:  1024 | lm loss: 1.043271E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.021 | tokens per gpu per second (tgs): 1026.717 | TFLOPs: 0.88 |
 iteration       10/     100 | consumed samples:        10240 | consumed tokens:      2621440 | elapsed time per iteration (ms): 127400.3 | learning rate: 5.868E-05 | global batch size:  1024 | lm loss: 1.040792E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.038 | tokens per gpu per second (tgs): 1028.820 | TFLOPs: 0.89 |
 iteration       11/     100 | consumed samples:        11264 | consumed tokens:      2883584 | elapsed time per iteration (ms): 127540.1 | learning rate: 5.840E-05 | global batch size:  1024 | lm loss: 1.037841E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.029 | tokens per gpu per second (tgs): 1027.692 | TFLOPs: 0.88 |
